_id,sampleID,pin,time,data.acc-x,data.acc-y,data.acc-z,data.gacc-x,data.gacc-y,data.gacc-z,data.rot-alpha,data.rot-beta,data.rot-gamma,data.ox-gamma,data.oy-beta,data.oz-alpha
,1.496306610483e+12,2,2017-06-01T08:43:37.434Z,-1.4372773674190042,-0.167098350316938,-0.11176269506677053,-0.5496189186096191,-3.4247557459182105,-9.3188311834143,2.469863638551253,13.904782145322422,17.459935735675433,,,
,1.496306610483e+12,2,2017-06-01T08:43:37.437Z,,,,,,,,,,5.506896753612316,19.40166950067091,359.34980675736756
,1.496306610483e+12,2,2017-06-01T08:43:37.450Z,-1.5544257832452655,-0.188724746919889,-0.1158757929414045,-0.6498761131286621,-3.4558803309676236,-9.317933759650542,2.4590736472099253,11.442900223146564,12.674289415398775,,,
,1.496306610483e+12,2,2017-06-01T08:43:37.451Z,,,,,,,,,,5.614060827560739,19.460514972736057,359.5757907674394
,1.496306610483e+12,2,2017-06-01T08:43:37.467Z,-1.4600238906256853,-0.19577742364406583,-0.21758348766285926,-0.725293465423584,-3.489698557281494,-9.425223638418503,2.862029835361525,8.039766153150527,3.7884165033399935,,,
,1.496306610483e+12,2,2017-06-01T08:43:37.468Z,,,,,,,,,,4.562291813041153,19.62645327471977,0.0655041669969814
,1.496306610483e+12,2,2017-06-01T08:43:37.483Z,-1.4549341662712394,-0.17104347121352328,-0.23727767409421502,-0.706139852142334,-3.474585250633303,-9.440336926800384,4.725416004628193,3.908100627505658,-4.464147608496865,,,
,1.496306610483e+12,2,2017-06-01T08:43:37.484Z,,,,,,,,,,4.651546333899259,19.686139860774617,0.032075114516482275
,1.496306610483e+12,2,2017-06-01T08:43:37.500Z,-1.452616098587215,-0.11816415960690937,-0.13384091795729472,-0.6890811653137207,-3.4377744457741732,-9.329904612687695,6.321817336315056,0.8239684616218036,-10.635046792458612,,,
,1.496306610483e+12,2,2017-06-01T08:43:37.501Z,,,,,,,,,,4.746293172646359,19.78587940926509,359.83602109542744
