_id,sampleID,pin,time,data.acc-x,data.acc-y,data.acc-z,data.gacc-x,data.gacc-y,data.gacc-z,data.rot-alpha,data.rot-beta,data.rot-gamma,data.ox-gamma,data.oy-beta,data.oz-alpha
ObjectId(58c79ee460007b16823a1acd),1.489477338159e+12,0,2017-03-14T07:42:28.996Z,,,,,,,,,,9.886468019872886,75.44334306018477,355.9437124874325
ObjectId(58c79ee460007b16823a1acc),1.489477338159e+12,0,2017-03-14T07:42:28.996Z,0.24224512377586213,0.015751870554854393,-0.18539626008430496,0.6654384239196777,-9.476100358623096,-2.613570332469139,-21.217070826390415,-28.681255230636673,3.023017607542137,,,
ObjectId(58c79ee560007b16823a1acf),1.489477338159e+12,0,2017-03-14T07:42:29.013Z,0.15958795642051846,0.0849424926803913,-0.13209770928546785,0.5612906517028808,-9.395146817989508,-2.609380680493265,-17.884705200158525,-22.364785078668092,2.1079778047657634,,,
ObjectId(58c79ee560007b16823a1ace),1.489477338159e+12,0,2017-03-14T07:42:29.013Z,,,,,,,,,,9.210602056823138,75.1723615093692,356.2675873095402
ObjectId(58c79ee560007b16823a1ad1),1.489477338159e+12,0,2017-03-14T07:42:29.030Z,-0.04196045640700031,0.2913371079966426,-0.04756651451943908,0.3387795303455321,-9.174580469457805,-2.58169745436965,-14.430350687802918,-17.208898962920784,0.7033872347973407,,,
ObjectId(58c79ee560007b16823a1ad0),1.489477338159e+12,0,2017-03-14T07:42:29.030Z,,,,,,,,,,8.544481942853938,74.85220598932135,356.5725859522332
ObjectId(58c79ee560007b16823a1ad2),1.489477338159e+12,0,2017-03-14T07:42:29.046Z,-0.008497341411668458,0.19836700174584984,-0.2265776903762482,0.3591302484526153,-9.259125861712544,-2.793883754597511,-11.91964401211887,-17.156755591249613,0.743546666043753,,,
ObjectId(58c79ee560007b16823a1ad3),1.489477338159e+12,0,2017-03-14T07:42:29.047Z,,,,,,,,,,8.149120353754483,74.66496710213869,356.7186215666674
ObjectId(58c79ee560007b16823a1ad5),1.489477338159e+12,0,2017-03-14T07:42:29.063Z,0.0219934284006129,0.10281756479265168,-0.1564481422911398,0.3763385620393674,-9.348459492890816,-2.748393849989306,-8.307845101658003,-16.01061911267021,1.1098788462572151,,,
ObjectId(58c79ee560007b16823a1ad4),1.489477338159e+12,0,2017-03-14T07:42:29.063Z,,,,,,,,,,7.784653327899807,74.52824189951701,356.8440993087659
ObjectId(58c79ee560007b16823a1ad7),1.489477338159e+12,0,2017-03-14T07:42:29.080Z,0.028380773083853998,0.07637903236735145,-0.03268810575579991,0.3708019889665651,-9.36910950504255,-2.6472387362328704,-6.175373384754928,-14.612940427337575,1.8798836374331875,,,
ObjectId(58c79ee560007b16823a1ad6),1.489477338159e+12,0,2017-03-14T07:42:29.080Z,,,,,,,,,,7.461418497560642,74.4019661342337,356.9495094345513
